lsl_timestamp,TP9 (microvolts),AF7 (microvolts),AF8 (microvolts),TP10 (microvolts),Right AUX (microvolts)
1770415402.236206,23.92578125,41.50390625,92.28515625,33.203125,36.1328125
1770415402.2401118,21.484375,37.109375,94.7265625,30.2734375,38.57421875
1770415402.2440176,22.94921875,42.48046875,107.91015625,25.390625,9.765625
1770415402.2479234,24.90234375,42.48046875,159.1796875,20.99609375,45.8984375
1770415402.2518291,22.4609375,35.64453125,111.81640625,24.4140625,39.55078125
1770415402.255735,32.71484375,41.015625,-19.04296875,37.59765625,40.52734375
1770415402.2596407,38.0859375,46.875,-166.9921875,36.1328125,87.890625
1770415402.2635465,28.3203125,41.50390625,25.390625,24.90234375,83.0078125
1770415402.267452,23.4375,34.1796875,181.15234375,28.3203125,32.71484375
1770415402.2713578,22.94921875,31.73828125,106.93359375,28.80859375,7.32421875
1770415402.2752635,27.83203125,33.203125,104.4921875,32.71484375,-8.30078125
1770415402.2791693,27.34375,29.78515625,121.09375,36.62109375,-39.0625
1770415402.283077,24.90234375,28.3203125,153.80859375,30.76171875,-15.13671875
1770415402.2869825,21.97265625,32.2265625,53.22265625,30.2734375,6.8359375
1770415402.2908883,18.5546875,33.69140625,19.04296875,26.85546875,26.85546875
1770415402.294794,23.92578125,34.66796875,102.5390625,27.83203125,29.296875
1770415402.2986999,36.62109375,33.69140625,140.625,22.4609375,36.1328125
1770415402.3026056,34.1796875,25.87890625,34.66796875,20.99609375,50.29296875
1770415402.3065114,27.34375,24.4140625,-87.40234375,28.80859375,62.01171875
1770415402.3104172,28.3203125,28.80859375,-22.4609375,27.34375,65.91796875
1770415402.314323,23.4375,31.73828125,150.390625,26.85546875,69.82421875
1770415402.3182287,28.3203125,27.34375,-130.37109375,29.78515625,62.98828125
1770415402.3221343,24.90234375,28.80859375,-352.5390625,19.53125,7.8125
1770415402.32604,17.578125,32.2265625,-34.1796875,19.53125,12.20703125
1770415402.3299468,23.92578125,28.3203125,101.5625,26.85546875,57.12890625
1770415402.3338525,27.83203125,34.66796875,102.05078125,25.390625,56.15234375
1770415402.3377583,28.80859375,35.15625,27.83203125,18.5546875,19.53125
1770415402.341664,32.2265625,30.2734375,27.83203125,10.7421875,2.44140625
1770415402.3455696,41.015625,29.296875,71.2890625,21.484375,61.03515625
1770415402.3494754,38.0859375,30.2734375,-65.91796875,36.62109375,68.84765625
1770415402.3533812,29.296875,36.62109375,-81.0546875,27.83203125,51.26953125
