lsl_timestamp,TP9 (microvolts),AF7 (microvolts),AF8 (microvolts),TP10 (microvolts),Right AUX (microvolts)
1770416354.4473083,25.390625,36.1328125,-8.30078125,40.52734375,36.1328125
1770416354.451214,44.43359375,30.2734375,36.62109375,47.8515625,-40.52734375
1770416354.4551198,47.36328125,31.73828125,32.71484375,52.24609375,-46.875
1770416354.4590256,36.62109375,32.71484375,41.015625,49.31640625,8.30078125
1770416354.4629314,37.109375,32.2265625,35.64453125,53.22265625,-3.41796875
1770416354.4668372,31.25,30.76171875,14.6484375,49.8046875,23.4375
1770416354.470743,37.109375,30.76171875,29.296875,43.45703125,43.9453125
1770416354.4746487,51.26953125,33.203125,3.41796875,36.62109375,12.20703125
1770416354.4785545,47.36328125,30.2734375,25.390625,26.85546875,26.85546875
1770416354.4824603,46.38671875,29.296875,59.5703125,28.80859375,57.6171875
1770416354.486366,45.8984375,29.78515625,27.83203125,24.90234375,29.296875
1770416354.4902718,39.0625,32.2265625,49.31640625,14.16015625,23.4375
1770416354.4941778,50.78125,30.76171875,44.43359375,7.32421875,23.92578125
1770416354.4980836,49.8046875,30.2734375,34.66796875,1.953125,22.94921875
1770416354.5019894,43.9453125,34.66796875,2.44140625,1.46484375,-24.90234375
1770416354.5058951,40.52734375,34.1796875,3.90625,-8.7890625,-34.1796875
1770416354.509801,45.41015625,33.69140625,35.15625,-15.13671875,-0.48828125
1770416354.5137067,56.15234375,33.69140625,20.5078125,-5.37109375,44.921875
1770416354.5176125,46.875,37.59765625,16.11328125,1.46484375,73.73046875
1770416354.5215182,39.55078125,43.45703125,33.69140625,-0.48828125,55.17578125
1770416354.525424,38.0859375,33.203125,29.296875,-7.8125,1.46484375
1770416354.5293298,36.62109375,30.2734375,33.203125,-19.04296875,-14.6484375
1770416354.5332355,34.1796875,32.2265625,8.7890625,-10.7421875,83.0078125
1770416354.5371413,34.1796875,32.71484375,-31.73828125,-6.34765625,106.93359375
1770416354.5410478,25.390625,34.66796875,20.99609375,-13.18359375,57.6171875
1770416354.5449536,19.04296875,28.3203125,50.78125,-13.18359375,40.0390625
1770416354.5488594,24.90234375,27.34375,39.55078125,-16.11328125,38.57421875
1770416354.5527651,20.99609375,29.296875,22.94921875,-1.46484375,0.0
1770416354.556671,20.99609375,26.85546875,12.6953125,6.34765625,-42.48046875
1770416354.5605767,29.78515625,26.3671875,12.6953125,9.765625,-13.18359375
1770416354.5644825,39.0625,30.76171875,-22.4609375,16.6015625,13.671875
1770416354.5683882,40.0390625,33.203125,1.953125,6.8359375,-3.41796875
1770416354.572294,43.45703125,30.76171875,53.7109375,14.6484375,3.90625
1770416354.5761998,38.57421875,33.203125,46.875,28.3203125,40.52734375
1770416354.5801055,32.71484375,33.69140625,56.640625,9.765625,89.84375
1770416354.5840113,43.45703125,27.83203125,39.0625,-6.8359375,91.30859375
1770416354.5879173,24.4140625,24.4140625,28.80859375,-6.8359375,72.75390625
1770416354.591823,16.11328125,25.87890625,19.04296875,-8.30078125,82.51953125
1770416354.5957289,30.2734375,28.80859375,13.671875,-6.8359375,55.17578125
1770416354.5996346,38.57421875,33.203125,39.55078125,2.44140625,40.52734375
1770416354.6035404,38.57421875,34.66796875,25.390625,2.44140625,10.25390625
1770416354.6074462,38.0859375,32.2265625,13.18359375,-9.765625,8.7890625
1770416354.6113517,42.96875,38.57421875,39.0625,-3.90625,93.75
1770416354.6152575,35.64453125,41.015625,42.96875,-2.9296875,88.37890625
1770416354.6191633,21.484375,29.296875,40.0390625,-4.8828125,62.5
1770416354.623069,26.3671875,24.4140625,-6.8359375,3.90625,33.69140625
1770416354.6269748,33.69140625,30.2734375,-16.6015625,4.39453125,24.4140625
1770416354.6308806,26.3671875,28.80859375,61.03515625,-1.46484375,76.171875
1770416354.634787,19.04296875,26.3671875,41.015625,3.90625,20.01953125
1770416354.6386929,25.87890625,30.2734375,30.2734375,8.7890625,-5.37109375
1770416354.6425986,26.85546875,32.2265625,43.9453125,-8.7890625,58.59375
1770416354.6465044,22.4609375,29.296875,31.25,-16.11328125,36.62109375
1770416354.6504102,29.296875,29.78515625,30.2734375,-15.13671875,74.70703125
1770416354.654316,35.64453125,26.85546875,-22.94921875,-16.11328125,77.63671875
1770416354.6582217,30.2734375,31.25,3.90625,-7.32421875,25.390625
1770416354.6621275,20.01953125,39.0625,61.03515625,-9.27734375,12.6953125
1770416354.6660333,38.57421875,38.0859375,40.52734375,-20.01953125,-0.48828125
1770416354.669939,39.0625,29.78515625,33.203125,-23.92578125,4.8828125
1770416354.6738448,18.06640625,27.34375,38.0859375,-8.30078125,25.390625
1770416354.6777506,21.97265625,36.62109375,49.31640625,-16.6015625,69.3359375
1770416354.6816576,35.15625,30.76171875,19.04296875,-35.15625,47.36328125
1770416354.6855633,28.80859375,24.90234375,-5.37109375,-30.76171875,-2.9296875
1770416354.689469,24.90234375,24.90234375,29.78515625,-25.390625,19.04296875
1770416354.6933749,38.0859375,31.73828125,41.9921875,-20.01953125,30.76171875
1770416354.6972806,26.3671875,37.59765625,25.87890625,-11.71875,-23.92578125
1770416354.7011864,22.4609375,34.66796875,5.37109375,-9.765625,1.46484375
1770416354.7050922,30.2734375,34.66796875,-4.39453125,-19.53125,26.85546875
1770416354.708998,21.97265625,35.64453125,24.90234375,-10.25390625,-28.3203125
1770416354.7129037,25.87890625,33.203125,25.87890625,-3.41796875,42.48046875
1770416354.7168095,30.76171875,29.78515625,9.27734375,-4.39453125,54.6875
1770416354.7207153,21.97265625,28.80859375,58.10546875,-9.27734375,47.8515625
