timestamps,TP9,AF7,AF8,TP10,Right AUX
1772389188.735125,31.25,-326.66015625,114.2578125,36.1328125,55.6640625
1772389188.7390313,31.25,-570.3125,49.31640625,31.25,41.015625
1772389188.7429376,29.78515625,-765.13671875,48.33984375,39.0625,18.06640625
1772389188.7468438,37.59765625,-423.828125,139.6484375,47.36328125,54.19921875
1772389188.75075,34.66796875,-177.24609375,132.32421875,41.015625,56.640625
1772389188.7546563,28.80859375,-625.0,25.87890625,26.3671875,53.22265625
1772389188.7585626,15.625,-1000.0,-20.01953125,18.5546875,9.765625
1772389188.7624688,4.39453125,-855.46875,60.546875,29.296875,19.04296875
1772389188.766375,18.5546875,-354.4921875,159.66796875,35.15625,93.75
1772389188.7702813,20.99609375,-352.5390625,79.1015625,25.87890625,64.94140625
1772389188.7741876,18.5546875,-743.1640625,19.53125,26.3671875,96.6796875
1772389188.7780938,26.85546875,-634.27734375,91.30859375,43.9453125,133.7890625
1772389188.777125,31.25,-255.37109375,144.04296875,46.875,41.50390625
1772389188.7810311,22.94921875,-368.65234375,64.94140625,35.64453125,-33.203125
1772389188.7849374,21.97265625,-874.51171875,-23.4375,32.2265625,-18.06640625
1772389188.7888436,30.76171875,-840.8203125,61.03515625,40.52734375,6.34765625
1772389188.79275,29.296875,-291.015625,155.76171875,41.50390625,40.0390625
1772389188.7966561,30.76171875,-420.8984375,65.91796875,38.57421875,41.015625
1772389188.8005624,38.57421875,-954.1015625,-57.12890625,38.57421875,29.296875
1772389188.8044686,34.1796875,-882.8125,27.34375,33.69140625,92.28515625
1772389188.808375,26.85546875,-373.53515625,163.57421875,39.0625,73.2421875
1772389188.8122811,29.78515625,-266.6015625,101.07421875,39.0625,17.08984375
1772389188.8161874,25.87890625,-637.20703125,4.39453125,26.3671875,85.44921875
1772389188.8200936,27.83203125,-785.15625,18.06640625,33.69140625,113.76953125
1772389188.824125,36.62109375,-517.578125,95.703125,47.8515625,8.30078125
1772389188.8280313,41.015625,-402.34375,85.9375,41.50390625,-7.32421875
1772389188.8319376,28.80859375,-813.4765625,-2.9296875,37.109375,15.625
1772389188.8358438,15.13671875,-982.91015625,11.23046875,32.2265625,5.859375
1772389188.83975,21.484375,-714.35546875,83.984375,36.62109375,-42.96875
1772389188.8436563,56.15234375,-624.51171875,85.9375,74.21875,-35.15625
1772389188.8475626,59.08203125,-901.85546875,9.765625,64.453125,-0.9765625
1772389188.8514688,5.37109375,-1000.0,25.87890625,3.41796875,-41.9921875
1772389188.855375,-26.3671875,-773.92578125,119.140625,-10.25390625,29.296875
1772389188.8592813,-16.6015625,-404.296875,160.64453125,0.0,88.37890625
1772389188.8631876,-33.69140625,-434.08203125,117.1875,-25.87890625,41.015625
1772389188.8670938,-57.12890625,-732.421875,62.98828125,-44.921875,33.203125
1772389188.882125,-66.40625,-815.4296875,83.49609375,-38.0859375,40.0390625
1772389188.8860312,-83.984375,-599.12109375,147.94921875,-37.59765625,-4.39453125
1772389188.8899374,-97.65625,-432.12890625,156.73828125,-43.45703125,-20.5078125
1772389188.8938437,-106.4453125,-688.96484375,67.3828125,-55.6640625,17.08984375
1772389188.89775,-97.65625,-952.63671875,50.29296875,-62.98828125,25.390625
1772389188.9016562,-83.49609375,-946.77734375,105.95703125,-51.7578125,57.6171875
1772389188.9055624,-83.0078125,-723.14453125,136.23046875,-47.36328125,58.10546875
1772389188.9094687,-83.0078125,-548.33984375,122.0703125,-48.828125,30.76171875
1772389188.913375,-76.171875,-808.10546875,55.17578125,-39.0625,75.1953125
1772389188.9172812,-73.2421875,-882.8125,84.9609375,-31.73828125,76.171875
1772389188.9211874,-73.2421875,-467.7734375,170.8984375,-24.90234375,60.546875
1772389188.9250937,-75.68359375,-360.83984375,114.2578125,-24.90234375,42.48046875
1772389188.927125,-55.17578125,-815.91796875,-2.44140625,-17.08984375,41.50390625
1772389188.9310312,-37.59765625,-876.953125,36.1328125,-7.32421875,37.109375
1772389188.9349375,-36.1328125,-417.48046875,143.5546875,-0.9765625,50.78125
1772389188.9388437,-39.0625,-269.53125,105.95703125,0.0,76.171875
1772389188.94275,-32.71484375,-692.3828125,-11.71875,4.39453125,97.16796875
1772389188.9466562,-17.08984375,-985.83984375,-21.97265625,10.7421875,48.828125
1772389188.9505625,-14.6484375,-714.35546875,77.63671875,17.578125,49.31640625
1772389188.9544687,-3.41796875,-380.37109375,109.375,24.4140625,88.37890625
1772389188.958375,5.37109375,-640.625,-16.11328125,19.04296875,56.640625
1772389188.9622812,9.27734375,-1000.0,-106.4453125,19.53125,15.625
1772389188.9661875,10.25390625,-733.3984375,55.6640625,31.25,22.94921875
1772389188.9700937,2.44140625,-246.09375,136.71875,40.52734375,47.8515625
1772389188.972125,11.23046875,-481.93359375,27.34375,36.1328125,70.80078125
1772389188.9760313,25.390625,-947.75390625,-39.55078125,31.25,20.99609375
1772389188.9799376,25.390625,-746.58203125,42.48046875,36.1328125,12.6953125
1772389188.9838438,18.06640625,-350.09765625,102.5390625,41.015625,9.765625
1772389188.98775,22.4609375,-546.875,16.6015625,35.15625,-9.27734375
1772389188.9916563,30.2734375,-934.5703125,-59.5703125,33.203125,28.3203125
1772389188.9955626,32.2265625,-976.5625,-7.32421875,41.015625,30.76171875
1772389188.9994688,24.4140625,-625.0,85.44921875,41.015625,19.04296875
1772389189.003375,19.53125,-670.8984375,0.0,34.1796875,13.671875
1772389189.0072813,27.83203125,-1000.0,-69.82421875,26.3671875,36.62109375
1772389189.0111876,21.484375,-872.55859375,41.9921875,29.78515625,45.8984375
1772389189.0150938,20.01953125,-504.8828125,102.05078125,40.52734375,63.4765625
1772389189.017125,40.52734375,-321.77734375,74.21875,39.0625,60.546875
1772389189.0210311,37.59765625,-550.78125,5.37109375,31.25,35.15625
1772389189.0249374,32.71484375,-781.25,-13.18359375,29.78515625,61.03515625
1772389189.0288436,34.1796875,-668.9453125,30.2734375,44.43359375,38.57421875
1772389189.03275,41.015625,-425.29296875,61.5234375,49.31640625,-20.01953125
1772389189.0366561,43.45703125,-630.859375,-7.32421875,39.55078125,11.23046875
1772389189.0405624,40.0390625,-970.21484375,-47.8515625,39.0625,27.83203125
1772389189.0444686,40.52734375,-894.53125,2.9296875,34.66796875,34.66796875
1772389189.048375,37.59765625,-773.4375,36.62109375,36.62109375,26.85546875
1772389189.0522811,41.50390625,-533.69140625,58.59375,34.66796875,32.71484375
1772389189.0561874,33.69140625,-615.72265625,-2.44140625,31.73828125,72.265625
1772389189.0600936,30.2734375,-911.62109375,-29.296875,39.0625,54.6875
1772389189.062125,40.52734375,-620.1171875,57.12890625,44.43359375,15.13671875
1772389189.0660312,36.62109375,-210.9375,83.49609375,43.45703125,23.92578125
1772389189.0699375,28.80859375,-542.96875,-11.71875,40.0390625,14.6484375
1772389189.0738437,28.80859375,-876.953125,-19.53125,40.0390625,0.9765625
1772389189.07775,22.4609375,-469.23828125,82.51953125,43.9453125,68.359375
1772389189.0816562,27.34375,-250.48828125,73.2421875,50.78125,50.29296875
1772389189.0855625,35.15625,-583.0078125,-3.90625,49.31640625,17.08984375
1772389189.0894687,30.76171875,-936.5234375,-75.1953125,40.0390625,9.765625
1772389189.093375,40.0390625,-763.671875,20.99609375,43.9453125,8.7890625
1772389189.0972812,31.73828125,-134.765625,151.3671875,40.0390625,34.1796875
1772389189.1011875,29.296875,-252.9296875,44.43359375,32.2265625,37.59765625
1772389189.1050937,41.50390625,-741.69921875,-33.203125,36.1328125,53.7109375
1772389189.108125,31.25,-610.3515625,42.48046875,37.109375,28.80859375
1772389189.1120312,29.78515625,-264.16015625,102.05078125,39.0625,-19.53125
1772389189.1159375,32.71484375,-312.5,42.96875,39.55078125,53.22265625
1772389189.1198437,34.66796875,-743.1640625,-40.52734375,34.66796875,81.54296875
1772389189.12375,44.43359375,-737.3046875,22.94921875,37.59765625,14.6484375
1772389189.1276562,56.640625,-315.4296875,110.3515625,49.8046875,45.41015625
1772389189.1315625,58.10546875,-347.16796875,51.7578125,41.015625,33.69140625
1772389189.1354687,39.55078125,-837.890625,-44.43359375,23.92578125,32.71484375
1772389189.139375,32.2265625,-819.3359375,17.578125,27.34375,35.64453125
1772389189.1432812,39.55078125,-286.1328125,116.2109375,31.73828125,17.08984375
1772389189.1471875,29.78515625,-28.80859375,110.83984375,28.3203125,41.9921875
1772389189.1510937,23.92578125,-315.91796875,20.5078125,19.04296875,11.23046875
1772389189.152125,29.296875,-536.1328125,6.34765625,11.23046875,42.96875
1772389189.1560311,21.97265625,-302.734375,75.1953125,18.06640625,67.87109375
1772389189.1599374,11.71875,7.8125,121.58203125,19.53125,53.7109375
1772389189.1638436,3.41796875,-145.5078125,72.75390625,8.30078125,96.19140625
1772389189.16775,-1.46484375,-512.20703125,9.27734375,0.9765625,94.23828125
1772389189.1716561,-4.39453125,-519.53125,50.78125,4.39453125,74.21875
1772389189.1755624,-33.69140625,-494.62890625,72.75390625,-6.34765625,38.57421875
1772389189.1794686,-40.0390625,-599.12109375,58.59375,-36.62109375,43.45703125
1772389189.183375,-45.8984375,-517.578125,66.89453125,-65.4296875,81.0546875
1772389189.1872811,-57.6171875,-452.63671875,66.89453125,-73.73046875,95.21484375
1772389189.1911874,-51.7578125,-174.8046875,133.30078125,-60.05859375,92.28515625
1772389189.1950936,-65.91796875,113.76953125,152.83203125,-72.265625,85.44921875
1772389189.197125,-88.8671875,-142.578125,62.98828125,-116.2109375,93.26171875
1772389189.2010312,-102.5390625,-578.61328125,16.11328125,-143.5546875,51.26953125
1772389189.2049375,-101.5625,-454.1015625,99.609375,-141.11328125,53.22265625
1772389189.2088437,-111.81640625,-35.64453125,167.48046875,-143.5546875,28.3203125
1772389189.21275,-128.90625,-137.20703125,105.95703125,-164.55078125,22.94921875
1772389189.2166562,-137.6953125,-685.546875,12.20703125,-179.6875,66.89453125
1772389189.2205625,-141.6015625,-941.89453125,43.9453125,-186.03515625,-31.25
1772389189.2244687,-139.16015625,-332.03125,209.9609375,-183.59375,-31.25
1772389189.228375,-141.11328125,5.37109375,186.03515625,-174.31640625,22.4609375
1772389189.2322812,-139.6484375,-587.890625,40.0390625,-174.31640625,21.484375
1772389189.2361875,-133.7890625,-717.28515625,86.42578125,-173.828125,15.625
1772389189.2400937,-126.953125,-89.84375,213.37890625,-164.0625,-8.7890625
1772389189.257125,-121.58203125,81.0546875,166.9921875,-163.57421875,10.25390625
1772389189.2610312,-117.67578125,-400.390625,52.734375,-161.1328125,15.625
1772389189.2649374,-92.28515625,-594.7265625,68.359375,-141.6015625,24.4140625
1772389189.2688437,-75.68359375,-174.8046875,151.85546875,-122.0703125,10.7421875
1772389189.27275,-79.58984375,132.8125,147.94921875,-116.2109375,44.921875
1772389189.2766562,-50.78125,-421.875,4.39453125,-91.30859375,41.50390625
1772389189.2805624,-28.80859375,-897.4609375,-24.4140625,-78.61328125,-39.55078125
1772389189.2844687,-25.390625,-303.22265625,121.09375,-75.1953125,46.875
1772389189.288375,-2.44140625,42.48046875,122.0703125,-51.26953125,45.8984375
1772389189.2922812,16.11328125,-564.453125,-29.296875,-41.9921875,19.04296875
1772389189.2961874,28.80859375,-897.4609375,-50.29296875,-29.78515625,65.91796875
1772389189.3000937,42.96875,-416.50390625,57.12890625,-3.90625,-7.8125
1772389189.302125,63.96484375,-21.484375,79.1015625,26.85546875,-9.765625
1772389189.3060312,83.984375,-83.49609375,11.23046875,44.43359375,61.03515625
1772389189.3099375,101.5625,-405.2734375,-63.96484375,47.8515625,40.0390625
1772389189.3138437,131.8359375,-400.390625,-28.3203125,76.66015625,31.25
1772389189.31775,145.01953125,-104.98046875,28.3203125,107.91015625,34.1796875
1772389189.3216562,145.99609375,-238.28125,-42.48046875,119.62890625,1.953125
1772389189.3255625,153.3203125,-655.2734375,-109.86328125,118.65234375,-45.8984375
1772389189.3294687,174.8046875,-589.35546875,-43.45703125,135.7421875,-3.90625
1772389189.333375,212.40234375,-296.875,8.7890625,167.96875,84.9609375
1772389189.3372812,213.37890625,-346.6796875,-23.92578125,171.38671875,52.734375
1772389189.3411875,198.73046875,-507.8125,-66.40625,153.3203125,14.16015625
1772389189.3450937,211.9140625,-656.73828125,-86.42578125,159.66796875,31.25
1772389189.348125,225.5859375,-518.06640625,-24.90234375,182.12890625,47.36328125
1772389189.3520312,221.6796875,-168.45703125,26.3671875,185.05859375,39.0625
1772389189.3559375,208.984375,-95.21484375,-11.71875,175.29296875,58.10546875
1772389189.3598437,226.07421875,-502.9296875,-84.47265625,184.08203125,38.0859375
1772389189.36375,234.375,-499.0234375,-28.80859375,200.68359375,53.7109375
1772389189.3676562,230.46875,-223.6328125,27.83203125,201.66015625,64.453125
1772389189.3715625,230.46875,-202.1484375,-6.8359375,190.91796875,84.47265625
1772389189.3754687,212.890625,-457.03125,-69.3359375,174.8046875,66.89453125
1772389189.379375,228.02734375,-897.94921875,-98.14453125,184.5703125,47.8515625
1772389189.3832812,226.07421875,-610.83984375,15.625,197.265625,77.63671875
1772389189.3871875,196.77734375,-70.3125,62.01171875,184.08203125,20.99609375
1772389189.3910937,211.9140625,-442.87109375,-54.19921875,179.19921875,3.90625
1772389189.394125,208.984375,-779.78515625,-64.453125,178.7109375,26.3671875
1772389189.3980312,188.96484375,-466.30859375,39.0625,175.29296875,41.50390625
1772389189.4019375,177.734375,-58.10546875,79.1015625,161.62109375,38.0859375
1772389189.4058437,175.78125,-375.0,-34.66796875,147.94921875,28.3203125
1772389189.40975,170.8984375,-933.10546875,-105.46875,143.5546875,18.5546875
