timestamps,TP9,AF7,AF8,TP10,Right AUX
1772658233.0368803,63.96484375,-104.4921875,19.53125,56.15234375,15.625
1772658233.0407841,62.01171875,-156.73828125,13.18359375,53.22265625,9.27734375
1772658233.0446882,68.84765625,384.27734375,20.01953125,46.875,34.1796875
1772658233.0485923,68.84765625,423.33984375,22.4609375,49.31640625,25.390625
1772658233.0524964,57.6171875,199.21875,10.7421875,52.734375,11.71875
1772658233.0564003,50.29296875,14.16015625,4.8828125,46.38671875,-1.46484375
1772658233.0603044,60.546875,146.484375,17.578125,44.921875,-24.90234375
1772658233.0642085,59.5703125,358.3984375,22.94921875,42.48046875,38.0859375
1772658233.0681124,54.6875,7.32421875,23.92578125,49.31640625,81.54296875
1772658233.0720165,56.640625,-6.8359375,30.76171875,55.6640625,66.40625
1772658233.0759206,53.7109375,372.55859375,28.3203125,46.38671875,40.0390625
1772658233.0798247,47.8515625,394.04296875,24.90234375,34.1796875,12.6953125
1772658233.0837495,43.9453125,246.58203125,24.90234375,39.55078125,5.859375
1772658233.0876534,44.43359375,144.53125,22.4609375,47.36328125,11.23046875
1772658233.0915575,51.26953125,209.9609375,30.2734375,45.41015625,-14.6484375
1772658233.0954616,52.24609375,299.8046875,30.2734375,34.1796875,10.7421875
1772658233.0993657,41.50390625,220.21484375,20.01953125,34.66796875,-0.48828125
1772658233.1032696,43.45703125,-7.32421875,30.2734375,46.875,-28.80859375
1772658233.1071737,48.33984375,40.0390625,35.64453125,50.29296875,29.296875
1772658233.1110778,38.57421875,348.6328125,23.92578125,26.85546875,24.90234375
1772658233.1149817,33.69140625,386.23046875,23.4375,20.99609375,39.0625
1772658233.1188858,35.64453125,184.08203125,23.92578125,40.0390625,58.59375
1772658233.1227899,42.48046875,136.71875,20.99609375,41.50390625,19.04296875
1772658233.1266937,47.8515625,45.41015625,32.2265625,35.15625,19.04296875
1772658233.1306188,39.0625,52.24609375,38.0859375,27.34375,9.27734375
1772658233.134523,34.66796875,239.74609375,34.66796875,28.3203125,24.90234375
1772658233.138427,35.64453125,69.82421875,30.2734375,36.62109375,42.96875
1772658233.142331,33.203125,194.3359375,23.4375,30.2734375,30.2734375
1772658233.146235,34.1796875,384.27734375,27.83203125,24.90234375,0.9765625
1772658233.150139,31.25,147.94921875,26.85546875,34.66796875,-15.625
1772658233.154043,28.80859375,-36.1328125,32.2265625,41.015625,41.50390625
1772658233.157947,37.59765625,-72.75390625,36.62109375,41.015625,87.890625
1772658233.1618512,36.62109375,221.6796875,26.85546875,29.78515625,61.03515625
1772658233.1657553,39.0625,428.22265625,26.3671875,27.83203125,31.25
1772658233.1696591,38.57421875,227.5390625,27.83203125,39.55078125,57.6171875
1772658233.1735632,38.57421875,193.84765625,38.0859375,41.50390625,67.3828125
1772658233.177488,47.36328125,369.140625,42.96875,38.0859375,78.61328125
1772658233.1813922,39.0625,396.484375,34.1796875,33.69140625,47.8515625
1772658233.185296,33.203125,95.703125,41.50390625,42.48046875,12.20703125
1772658233.1892002,33.203125,-6.8359375,32.2265625,41.50390625,13.18359375
1772658233.1931043,33.69140625,181.15234375,20.5078125,28.80859375,11.23046875
1772658233.1970081,32.2265625,194.82421875,26.3671875,23.92578125,10.7421875
1772658233.2009122,26.3671875,100.09765625,35.64453125,31.25,-2.44140625
1772658233.2048163,26.3671875,99.609375,37.109375,41.50390625,17.578125
1772658233.2087204,29.78515625,240.72265625,39.55078125,31.25,31.25
1772658233.2126243,26.3671875,332.51953125,39.55078125,21.484375,7.32421875
1772658233.2165284,28.3203125,-15.625,32.71484375,27.34375,-15.13671875
1772658233.2204325,29.296875,-147.4609375,26.85546875,30.76171875,41.015625
1772658233.2243574,26.85546875,222.16796875,27.83203125,30.2734375,54.6875
1772658233.2282615,25.87890625,411.1328125,24.4140625,20.01953125,21.97265625
1772658233.2321656,31.25,371.09375,27.34375,25.390625,20.5078125
1772658233.2360694,34.66796875,165.52734375,37.109375,36.1328125,10.25390625
1772658233.2399735,25.87890625,146.484375,33.69140625,29.78515625,47.36328125
1772658233.2438776,26.85546875,227.05078125,39.0625,30.76171875,64.94140625
1772658233.2477818,28.80859375,6.8359375,42.48046875,28.3203125,44.43359375
1772658233.2516856,27.83203125,-23.92578125,35.15625,34.1796875,48.33984375
1772658233.2555897,34.1796875,187.01171875,36.1328125,42.48046875,66.89453125
1772658233.2594938,33.203125,280.2734375,37.109375,30.76171875,20.5078125
1772658233.2633977,26.85546875,366.2109375,30.2734375,21.484375,-4.8828125
1772658233.2673018,32.2265625,212.40234375,26.3671875,29.78515625,-6.34765625
1772658233.271227,33.203125,81.54296875,37.109375,36.1328125,16.6015625
1772658233.275131,34.1796875,99.609375,35.64453125,32.71484375,39.0625
1772658233.279035,34.66796875,240.72265625,23.92578125,23.4375,51.26953125
1772658233.282939,21.484375,282.71484375,28.3203125,20.5078125,57.6171875
1772658233.286843,23.4375,45.41015625,36.62109375,36.62109375,-9.765625
1772658233.2907472,39.0625,-28.3203125,36.1328125,47.36328125,20.5078125
1772658233.2946513,39.0625,167.48046875,42.48046875,40.52734375,39.55078125
1772658233.2985551,32.2265625,298.33984375,49.8046875,37.59765625,24.4140625
1772658233.3024592,32.2265625,181.640625,41.9921875,44.921875,41.015625
1772658233.3063633,24.90234375,-152.34375,31.25,41.9921875,22.4609375
1772658233.3102672,20.99609375,-53.22265625,33.203125,24.90234375,45.41015625
1772658233.3141713,20.99609375,392.578125,43.45703125,22.94921875,76.171875
1772658233.3180964,15.625,273.4375,42.96875,31.73828125,76.171875
1772658233.3220003,9.765625,94.7265625,34.1796875,29.296875,66.40625
1772658233.3259044,13.18359375,204.58984375,41.015625,22.94921875,48.828125
1772658233.3298085,19.04296875,358.88671875,50.29296875,22.4609375,44.921875
