timestamp,focus_state,confidence_score,focus_score,relaxed_prob,neutral_prob,concentrating_prob
23:36:12,neutral,0.525,0.6,0.33,0.33,0.34
23:36:13,concentrating,0.457,1.0,0.33,0.33,0.34
23:36:14,concentrating,0.449,1.0,0.33,0.33,0.34
23:36:15,concentrating,0.478,1.0,0.33,0.33,0.34
23:36:16,concentrating,0.484,1.0,0.33,0.33,0.34
23:36:17,concentrating,0.505,1.0,0.33,0.33,0.34
23:36:18,concentrating,0.518,1.0,0.33,0.33,0.34
23:36:19,concentrating,0.504,1.0,0.33,0.33,0.34
23:36:21,concentrating,0.524,1.0,0.33,0.33,0.34
23:36:22,concentrating,0.528,1.0,0.33,0.33,0.34
23:36:23,concentrating,0.525,1.0,0.33,0.33,0.34
23:36:24,concentrating,0.53,1.0,0.33,0.33,0.34
23:36:25,concentrating,0.541,1.0,0.33,0.33,0.34
23:36:26,concentrating,0.563,1.0,0.33,0.33,0.34
23:36:28,concentrating,0.553,1.0,0.33,0.33,0.34
23:36:29,concentrating,0.55,1.0,0.33,0.33,0.34
23:36:30,concentrating,0.552,1.0,0.33,0.33,0.34
23:36:31,concentrating,0.556,1.0,0.33,0.33,0.34
23:36:32,concentrating,0.547,1.0,0.33,0.33,0.34
23:36:34,concentrating,0.546,1.0,0.33,0.33,0.34
23:36:35,concentrating,0.543,1.0,0.33,0.33,0.34
23:36:36,concentrating,0.553,1.0,0.33,0.33,0.34
23:36:37,concentrating,0.555,1.0,0.33,0.33,0.34
23:36:39,concentrating,0.554,1.0,0.33,0.33,0.34
23:36:40,concentrating,0.558,1.0,0.33,0.33,0.34
23:36:41,concentrating,0.551,1.0,0.33,0.33,0.34
23:36:43,concentrating,0.553,1.0,0.33,0.33,0.34
23:36:44,concentrating,0.559,1.0,0.33,0.33,0.34
23:36:46,concentrating,0.555,1.0,0.33,0.33,0.34
23:36:47,concentrating,0.561,1.0,0.33,0.33,0.34
23:36:49,concentrating,0.557,1.0,0.33,0.33,0.34
23:36:50,concentrating,0.565,1.0,0.33,0.33,0.34
23:36:51,concentrating,0.562,1.0,0.33,0.33,0.34
23:36:53,concentrating,0.563,1.0,0.33,0.33,0.34
23:36:54,concentrating,0.564,1.0,0.33,0.33,0.34
23:36:56,concentrating,0.557,1.0,0.33,0.33,0.34
23:36:58,concentrating,0.554,1.0,0.33,0.33,0.34
23:36:59,concentrating,0.552,1.0,0.33,0.33,0.34
23:37:01,concentrating,0.552,1.0,0.33,0.33,0.34
23:37:02,concentrating,0.548,1.0,0.33,0.33,0.34
23:37:04,concentrating,0.555,1.0,0.33,0.33,0.34
23:37:06,concentrating,0.55,1.0,0.33,0.33,0.34
23:37:07,concentrating,0.552,1.0,0.33,0.33,0.34
23:37:09,concentrating,0.551,1.0,0.33,0.33,0.34
23:37:11,concentrating,0.55,1.0,0.33,0.33,0.34
23:37:12,concentrating,0.548,1.0,0.33,0.33,0.34
23:37:14,concentrating,0.551,1.0,0.33,0.33,0.34
23:37:16,concentrating,0.549,1.0,0.33,0.33,0.34
