timestamp,focus_state,confidence_score,focus_score,relaxed_prob,neutral_prob,concentrating_prob
23:54:08,neutral,0.658,0.6,0.33,0.33,0.34
23:54:09,neutral,0.751,0.6,0.33,0.33,0.34
23:54:10,neutral,0.756,0.6,0.33,0.33,0.34
23:54:11,neutral,0.767,0.6,0.33,0.33,0.34
23:54:12,neutral,0.778,0.6,0.33,0.33,0.34
23:54:14,neutral,0.749,0.6,0.33,0.33,0.34
23:54:15,neutral,0.761,0.6,0.33,0.33,0.34
23:54:16,neutral,0.763,0.6,0.33,0.33,0.34
23:54:17,neutral,0.771,0.6,0.33,0.33,0.34
23:54:18,neutral,0.767,0.6,0.33,0.33,0.34
23:54:20,neutral,0.791,0.6,0.33,0.33,0.34
23:54:21,neutral,0.775,0.6,0.33,0.33,0.34
23:54:22,neutral,0.772,0.6,0.33,0.33,0.34
23:54:24,neutral,0.773,0.6,0.33,0.33,0.34
23:54:25,neutral,0.765,0.6,0.33,0.33,0.34
23:54:26,neutral,0.763,0.6,0.33,0.33,0.34
23:54:28,neutral,0.765,0.6,0.33,0.33,0.34
23:54:29,neutral,0.766,0.6,0.33,0.33,0.34
23:54:31,neutral,0.758,0.6,0.33,0.33,0.34
23:54:32,neutral,0.754,0.6,0.33,0.33,0.34
23:54:34,neutral,0.747,0.6,0.33,0.33,0.34
23:54:35,neutral,0.749,0.6,0.33,0.33,0.34
23:54:37,neutral,0.749,0.6,0.33,0.33,0.34
23:54:39,neutral,0.758,0.6,0.33,0.33,0.34
23:54:41,neutral,0.744,0.6,0.33,0.33,0.34
23:54:43,neutral,0.731,0.6,0.33,0.33,0.34
23:54:45,neutral,0.715,0.6,0.33,0.33,0.34
23:54:47,neutral,0.701,0.6,0.33,0.33,0.34
23:54:49,neutral,0.693,0.6,0.33,0.33,0.34
23:54:51,neutral,0.691,0.6,0.33,0.33,0.34
23:54:53,neutral,0.698,0.6,0.33,0.33,0.34
23:54:55,neutral,0.708,0.6,0.33,0.33,0.34
23:54:57,neutral,0.711,0.6,0.33,0.33,0.34
23:55:00,neutral,0.719,0.6,0.33,0.33,0.34
23:55:02,neutral,0.725,0.6,0.33,0.33,0.34
23:55:04,neutral,0.735,0.6,0.33,0.33,0.34
23:55:07,neutral,0.737,0.6,0.33,0.33,0.34
