timestamp,focus_state,confidence_score,focus_score,relaxed_prob,neutral_prob,concentrating_prob
06:38:26,neutral,0.665,0.6,0.33,0.33,0.34
06:38:27,neutral,0.849,0.6,0.33,0.33,0.34
06:38:28,neutral,0.801,0.6,0.33,0.33,0.34
06:38:30,neutral,0.867,0.6,0.33,0.33,0.34
06:38:31,neutral,0.787,0.6,0.33,0.33,0.34
06:38:32,neutral,0.863,0.6,0.33,0.33,0.34
06:38:33,neutral,0.815,0.6,0.33,0.33,0.34
06:38:34,neutral,0.812,0.6,0.33,0.33,0.34
06:38:36,neutral,0.816,0.6,0.33,0.33,0.34
06:38:37,neutral,0.818,0.6,0.33,0.33,0.34
06:38:39,neutral,0.793,0.6,0.33,0.33,0.34
06:38:41,neutral,0.785,0.6,0.33,0.33,0.34
06:38:42,neutral,0.767,0.6,0.33,0.33,0.34
06:38:44,neutral,0.763,0.6,0.33,0.33,0.34
06:38:46,neutral,0.774,0.6,0.33,0.33,0.34
06:38:48,neutral,0.754,0.6,0.33,0.33,0.34
06:38:50,neutral,0.738,0.6,0.33,0.33,0.34
06:38:52,neutral,0.73,0.6,0.33,0.33,0.34
06:38:55,neutral,0.723,0.6,0.33,0.33,0.34
06:38:57,neutral,0.717,0.6,0.33,0.33,0.34
06:39:00,neutral,0.71,0.6,0.33,0.33,0.34
06:39:02,neutral,0.702,0.6,0.33,0.33,0.34
06:39:05,neutral,0.69,0.6,0.33,0.33,0.34
06:39:09,neutral,0.691,0.6,0.33,0.33,0.34
06:39:12,neutral,0.686,0.6,0.33,0.33,0.34
06:39:15,neutral,0.693,0.6,0.33,0.33,0.34
06:39:19,neutral,0.693,0.6,0.33,0.33,0.34
06:39:23,neutral,0.693,0.6,0.33,0.33,0.34
06:39:27,neutral,0.701,0.6,0.33,0.33,0.34
