feature_names,feature_importance
feature_4,0.010165389269866876
feature_2,0.006292860024203373
feature_1,0.006010488100040401
feature_14,0.003590157321500642
feature_13,0.0029043969342477105
feature_22,0.002218636546994779
feature_99,0.001774909237595823
feature_15,0.001734570391286827
feature_0,0.0013715207745058633
feature_87,0.0012101653892698794
feature_94,0.0011294876966518874
feature_9,0.0010891488503428914
feature_54,0.0010891488503428914
feature_8,0.0010488100040338955
feature_74,0.0010084711577248995
feature_11,0.0009277934651069075
feature_52,0.0008874546187979115
feature_23,0.0008874546187979115
feature_3,0.0008471157724889156
feature_58,0.0008471157724889156
