feature_names,feature_importance
feature_1,0.06431726209833989
feature_0,0.06328574305627022
feature_11,0.04723907307191906
feature_2,0.04638516368842531
feature_12,0.04241823692693085
feature_9,0.04173254797100474
feature_4,0.0374406439807796
feature_14,0.03508170714155193
feature_13,0.03155395895895743
feature_3,0.025880273568972267
feature_7,0.024794689157726403
feature_19,0.024487701652906698
feature_6,0.022540876287376877
feature_17,0.02219977294637029
feature_21,0.01843308628327255
feature_20,0.018055389323488834
feature_10,0.016919288451912404
feature_28,0.01645848228077101
feature_25,0.016060306589903452
feature_16,0.015920364908765857
