feature_names,feature_importance
feature_1,0.0028640580879387032
feature_2,0.0026623638563937234
feature_26,0.0024203307785397588
feature_9,0.002178297700685783
feature_46,0.001855586930213815
feature_0,0.0016942315449778311
feature_32,0.0015328761597418472
feature_68,0.0014925373134328512
feature_19,0.0013715207745058633
feature_3,0.0012505042355788754
feature_72,0.0012101653892698794
feature_96,0.0012101653892698794
feature_13,0.0011294876966518874
feature_20,0.0010891488503428914
feature_31,0.0010488100040338955
feature_16,0.0010084711577248995
feature_33,0.0009681323114159035
feature_48,0.0009681323114159035
feature_91,0.0008874546187979115
feature_22,0.0008471157724889156
