feature_names,feature_importance
feature_19,0.10596191
feature_0,0.092588276
feature_12,0.05769059
feature_6,0.057437826
feature_20,0.05257351
feature_2,0.045118112
feature_16,0.03595109
feature_10,0.025183374
feature_71,0.023550652
feature_97,0.019866282
feature_9,0.019300144
feature_3,0.016040757
feature_13,0.015454992
feature_48,0.0151350945
feature_26,0.014985473
feature_1,0.014947166
feature_14,0.014393122
feature_63,0.013014129
feature_25,0.012502032
feature_31,0.010958366
